time,price
1440935788,1.17
1440939388,1.27
1440942988,1.28
1440946588,1.29
1440950188,1.29
1440953788,1.33
1440957388,1.33
1440960988,1.29
1440964588,1.29
1440968188,1.29
1440971788,1.29
1440975388,1.29
1440978988,1.29
1440982588,1.29
1440986188,1.31
1440989788,1.31
1440993388,1.31
1440996988,1.31
1441000588,1.31
1441004188,1.23
1441007788,1.25
1441011388,1.25
1441014988,1.25
1441018588,1.25
1441022188,1.25
1441025788,1.31
1441029388,1.31
1441032988,1.31
1441036588,1.31
1441040188,0.93
1441043788,0.93
1441047388,0.93
1441050988,1.32
1441054588,1.31
1441058188,1.31
1441061788,1.31
1441065388,1.31
1441068988,1.31
1441072588,1.31
1441076188,1.31
1441079788,1.31
1441083388,1.31
1441086988,1.31
1441090588,1.31
1441094188,1.29
1441097788,1.29
1441101388,1.31
1441104988,1.31
1441108588,1.31
1441112188,1.31
1441115788,1.31
1441119388,1.31
1441122988,1.31
1441126588,1.32
1441130188,1.37
1441133788,1.37
1441137388,1.37
1441140988,1.37
1441144588,1.37
1441148188,1.37
1441151788,1.37
1441155388,1.34
1441158988,1.33
1441162588,1.34
1441166188,1.34
1441169788,1.34
1441173388,1.33
1441176988,1.33
1441180588,1.33
1441184188,1.33
1441187788,1.36
1441191388,1.36
1441194988,1.36
1441198588,1.36
1441202188,1.36
1441205788,1.36
1441209388,1.36
1441212988,1.36
1441216588,1.36
1441220188,1.36
1441223788,1.36
1441227388,1.37
1441230988,1.37
1441234588,1.37
1441238188,1.37
1441241788,1.37
1441245388,1.30
1441248988,1.15
1441252588,1.16
1441256188,1.32
1441259788,1.30
1441263388,1.30
1441266988,1.30
1441270588,1.30
1441274188,1.30
1441277788,1.30
1441281388,1.30
1441284988,1.30
1441288588,1.30
1441292188,1.30
1441295788,1.30
1441299388,1.30
1441302988,1.26
1441306588,1.26
1441310188,1.26
1441313788,1.26
1441317388,1.26
1441320988,1.27
1441324588,1.26
1441328188,1.23
1441331788,1.23
1441335388,1.23
1441338988,1.24
1441342588,1.24
1441346188,1.24
1441349788,1.23
